time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010458050000	-9.2438	-5.89907	4.88434	4.02994	-0.120334	radar	4.98477	-8.86897	-5.41973	-9.30388	-5.88026	-3.54643	-3.59823
1477010458150000	-9.58413	-6.27947	4.91368	4.00708	-0.137623	radar	0.856329	-9.80646	-6.41174	-9.66432	-6.23389	-3.6586	-3.46994
1477010458250000	-10.0787	-6.51509	4.93962	3.88232	-0.297786	radar	5.40815	-10.6688	-6.35543	-10.0359	-6.57431	-3.76969	-3.33404
1477010458350000	-10.4267	-6.84837	4.97572	3.85724	-0.299038	radar	1.06936	-10.2205	-6.71044	-10.4186	-6.90075	-3.87907	-3.19046
1477010458450000	-10.8582	-7.09088	4.98724	3.78138	-0.362218	radar	0.930636	-10.8944	-6.83335	-10.8121	-7.21245	-3.98613	-3.03916
1477010458550000	-11.2152	-7.40308	4.97061	3.76573	-0.337633	radar	0.651506	-10.986	-7.3707	-11.2161	-7.50862	-4.09021	-2.88015
1477010458650000	-11.6098	-7.64869	4.94165	3.72061	-0.35262	radar	0.877341	-11.4213	-7.46085	-11.6304	-7.78849	-4.19066	-2.71349
1477010458750000	-12.0094	-7.87255	4.83824	3.67149	-0.372921	radar	1.30833	-11.9422	-7.88317	-12.0546	-8.05131	-4.28682	-2.53924
1477010458850000	-12.4375	-8.14251	4.95893	3.65455	-0.337377	radar	2.17678	-12.4462	-8.02117	-12.4881	-8.29633	-4.37802	-2.35756
1477010458950000	-12.8662	-8.29894	4.8499	3.58415	-0.390947	radar	1.69397	-12.7461	-8.19449	-12.9304	-8.5228	-4.4636	-2.16863
1477010459050000	-13.372	-8.48734	4.94726	3.53732	-0.384542	radar	2.44131	-13.7929	-8.47158	-13.381	-8.73002	-4.54289	-1.97267
1477010459150000	-13.8487	-8.50863	4.83517	3.41288	-0.51	radar	3.16913	-13.6376	-8.26344	-13.8392	-8.91729	-4.61524	-1.76997
1477010459250000	-14.2885	-8.77535	4.93167	3.46383	-0.345349	radar	2.77306	-14.4737	-8.79552	-14.3043	-9.08395	-4.68001	-1.56086
1477010459350000	-14.7008	-9.00511	4.8788	3.46171	-0.323896	radar	0.769179	-14.5757	-9.32634	-14.7754	-9.22939	-4.73658	-1.34573
1477010459450000	-15.18	-9.23801	4.90369	3.45845	-0.294543	radar	4.66491	-15.6189	-9.69365	-15.2517	-9.35302	-4.78436	-1.125
1477010459550000	-15.6813	-9.30723	4.85606	3.37601	-0.380886	radar	2.06712	-15.9382	-9.35751	-15.7324	-9.45431	-4.82275	-0.899159
1477010459650000	-16.2529	-9.23026	4.90224	3.24937	-0.482759	radar	1.41576	-16.6033	-8.85459	-16.2164	-9.53277	-4.85124	-0.668734
1477010459750000	-16.6495	-9.2998	4.82273	3.20963	-0.494317	radar	4.13158	-16.011	-9.33486	-16.7027	-9.58797	-4.8693	-0.434301
1477010459850000	-17.0141	-9.69716	4.75044	3.31922	-0.323195	radar	8.12189	-16.9255	-10.8571	-17.1903	-9.61954	-4.87646	-0.196479
1477010459950000	-17.5675	-9.65034	4.79289	3.22744	-0.395648	radar	2.96025	-18.1371	-9.39146	-17.6781	-9.62717	-4.87232	0.0440703
1477010460050000	-18.101	-9.5261	4.8198	3.11104	-0.497865	radar	1.11073	-18.3083	-9.18778	-18.1648	-9.61064	-4.85648	0.286648
1477010460150000	-18.5295	-9.57884	4.78967	3.11395	-0.416452	radar	1.21719	-18.2443	-9.58547	-18.6493	-9.56977	-4.82864	0.530522
1477010460250000	-18.9958	-9.48481	4.80415	3.06521	-0.398023	radar	3.07314	-18.6983	-9.02886	-19.1305	-9.50447	-4.78851	0.774927
1477010460350000	-19.5234	-9.25361	4.84977	2.93828	-0.517278	radar	1.62796	-19.7037	-8.79906	-19.6069	-9.41472	-4.73591	1.01907
1477010460450000	-20.0916	-8.86591	4.98224	2.81048	-0.55973	radar	4.62926	-20.3815	-7.6755	-20.0775	-9.30061	-4.67066	1.26215
1477010460550000	-20.5132	-8.92447	4.89311	2.84156	-0.461481	radar	3.14029	-20.4587	-9.7448	-20.5409	-9.16227	-4.59271	1.50334
1477010460650000	-21.0366	-8.7061	4.95199	2.77632	-0.48214	radar	2.39063	-21.5568	-8.5005	-20.9959	-8.99994	-4.50202	1.74179
